id,teks,emosi
112,Sri Mulyani Mundur atau Dicopot Istana Buka Suara,negatif
113,Sri Mulyani Mundur atau Dicopot,negatif
114,Isu Sri Mulyani Mundur sudah Muncul sejak Zaman Jokowi,negatif
115,Menteri Koordinator Bidang Perekonomian Airlangga Hartarto membantah isu yang menyebut Menteri Keuangan Sri Mulyani Indrawati mundur dari kabinet Airlangga memastikan Sri Mulyani hadir dalam rapat kabinet,negatif
116,Hasyim Sebut Sri Mulyani Dijadikan Kambing Hitam Beliau Mundur Karena Negara Tak Melindungi,negatif
117,Sri Mulyani Mundur dari Kursi Menkeu di Kabinet Prabowo Fakta Terkini,negatif
118,7 fakta tangis Sri Mulyani 2 kali minta mundur jadi Menteri Keuangan 2025 terungkap Cari tahu alasan emosional dan pelajaran penting darinya di sini,negatif
119,Terus terang saya masih menganggap Sri Mulyani sebagai simbol dari Kepercayaan Dunia Internasional Setiap ada orang yang bilang Sri Mulyani Mundur saya selalu lihat sebagai ngapain sih luh Mau mau bancakan y,positif
120,Entahlah SRI Mulyani Mundur Reaksi Cak Imin Vs Ahmad Muzani Jadi Sorotan Warganet,negatif
121,Menteri Keuangan Sri Mulyani dikabarkan mundur dari jabatannya di kabinet Benarkah egini faktanya menurut Airlangga Hartarto,negatif
122,Sri Mulyani Batal Mundur Hadiri Rapat Kabinet Bersama Presiden Prabowo,negatif
123,Sri Mulyani mundur dari jabatan Menteri Keuangan pada 8 September 2025 setelah reshuffle kabinet oleh Presiden Prabowo Ia hadir di serah terima jabatan pada 9 September dan meminta privasi Tidak ada laporan resmi bahwa ia kabur rumahnya dirusak massa pada 31 Agustus amid,negatif
124,Mundur bahasa lain dari lengser keprabon Mulyani Mundur atau Dicopot Istana Buka Suara,negatif
125,Jalan terbaik bagi Ibu Sri Mulyani mundur dari Kabinet Merah Putih,positif
126,Sri Mulyani Mundur Misteri amp Konsekuensi Ekonomi,negatif
127,Harusnya Sri Mulyani dapat apresiasi masyarakat Itu dulu Ketika itu santer disebut Sri Mulyani mundur dari Kabinet Jokowi Penyebabnya MK kabulkan putusan meloloskan Gibran anak Jokowi presiden ketika itu Ini dianggap melanggar etika,positif
128,Gerindra Bantah Isu Pergantian Menteri Keuangan Sri Mulyani,negatif
129,Pergantian Menteri Keuangan dari Sri Mulyani ke Purbaya menimbulkan pertanyaan apakah akan berdampak pada pendanaan pendidikan atau tetap sejalan dengan kebijakan fiskal sebelumnya Simak selengkapnya dalam video berikut,negatif
130,Pergantian Menteri Keuangan ke tangan Purbaya Yudhi Sadewa dalam reshuffle kabinet terbaru Presiden Prabowo Subianto memunculkan harapan baru Selengkapnya di,positif
131,Cuman akun Kemenkeu yg posting positif pergantian menteri keuangan,positif
132,Ruang rapat komisi XI amp balkon sama2 rame Apa semangatnya berbeda ya pasca pergantian menteri keuangan,negatif
133,Istana Belum Mau Singgung Pergantian Menteri Keuangan,negatif
134,Pergantian menteri keuangan adalah pengalihan isu penempatan Seperti cebongan dan hambalang Sekian,negatif
135,Fokus Presiden Kabar Pergantian Menteri Keuangan adalah Politik Fiksi,negatif
136,AutoTweet Rupiah Kembali Loyo di Akhir Pekan Dipengaruhi oleh pergantian Menteri Keuangan dan rencana kenai,negatif
137,Pergantian Menteri Keuangan dan reshuffle kabinet mengguncang pasar keuangan Bagaimana pengelolaan fiskal oleh menteri baru,negatif
138,Lagi dan lagi pergantian Menteri Keuangan,negatif
139,Serba Dadakan di Balik Pergantian Menteri Keuangan,negatif
140,Istana Belum Mau Singgung Pergantian Menteri Keuangan,negatif
141,SBY Isu Pergantian Menteri Keuangan Telah Pengaruhi Pasar Presiden mengaku menerima pesan pendek yang berisi,negatif
142,Istana Belum Mau Singgung Pergantian Menteri Keuangan Ads,negatif
143,Ini Alasan DPR Minta Tambahan Calon Gubernur BI Pergantian Menteri Keuangan dinilai akan mempengaruhi perekon,negatif
144,Rupiah Kembali Loyo di Akhir Pekan Dipengaruhi oleh pergantian Menteri Keuangan dan rencana kenaikan harga BB,negatif
145,Presiden Tepis Tudingan Adanya Pergantian Menteri Keuangan,negatif
146,Pergantian Menkeu Berpotensi Langgar UU Adanya pergantian menteri keuangan dapat menyebabkan pemerintah melangga,negatif
147,Indef Agus Marto Tak Cocok di Bank Indonesia pergantian Menteri Keuangan sangat berisiko dalam kondisi perek,negatif
148,Sterling Mengkonsolidasikan Keuntungan setelah Pergantian Menteri Keuangan readmore,negatif
149,Detik Hatta Isu Itu 1 000 Persen Tak Benar Isu pergantian Menteri Keuangan Mekeu Sri Mulyani berhembus kenca,negatif
150,Istana Belum Mau Singgung Pergantian Menteri Keuangan,negatif
151,Hatta Isu Itu 1 000 Persen Tak Benar Isu pergantian Menteri Keuangan Mekeu Sri Mulyani berhembus kencang Namu,negatif
152,Istana Belum Mau Singgung Pergantian Menteri Keuangan,negatif
153,Istana Belum Mau Singgung Pergantian Menteri Keuangan,negatif
154,Presiden Tepis Tudingan Adanya Pergantian Menteri Keuangan,negatif
155,2 Kepercayaan Investor Menurun Penurunan peringkat investasi Indonesia oleh lembaga seperti Goldman Sachs dan Morgan Stanley sebelumnya di 2025 mencerminkan kekhawatiran global terhadap prospek ekonomi Indonesia Isu pergantian Menteri Keuangan dan ketidakpastian politik,positif
156,Pergantian menteri keuangan emg cepat atau lambat bakalan kejadian Cmn ga nyangka aja penggantinya baru dilantik udh blunder nyepelein tuntutan rakyat kayak gini,negatif
157,Sterling Mengkonsolidasikan Keuntungan setelah Pergantian Menteri Keuangan readmore,negatif
158,Istana Belum Mau Singgung Pergantian Menteri Keuangan,negatif
159,Presiden Tepis Tudingan Adanya Pergantian Menteri Keuangan by Feed,negatif
160,Rupiah Melemah Dipengaruhi Pergantian Menteri Keuangan,negatif
161,Pengamat Penundaan Transfer DAU Efek Pergantian Menteri Keuangan,negatif
162,Purbaya Yudhi Sadewa resmi menjabat sebagai menteri keuangan setelah dilakukan serah terima jabatan dari Sri Mulyani yang berlangsung di gd kementerian keuangan jakarta Pergantian menteri keuangan mendapat respon luas di masyarakat terutama para pelaku usaha dan pasar bagaimana,negatif
163,Isu pergantian Menteri Keuangan Mekeu Sri Mulyani berhembus kencang Namun Menko Perekonomian Hatta Rajasa menam,negatif
164,Pergantian Menteri Keuangan dari Sri Mulyani ke Purbaya Yudhi Sadewa dipastikan tidak akan mengganggu rencana program kredit usaha rakyat bidang perumahan,negatif
165,Indef Agus Marto Tak Cocok di Bank Indonesia pergantian Menteri Keuangan sangat berisiko dalam kondisi perek,negatif
166,Ini Alasan DPR Minta Tambahan Calon Gubernur BI Pergantian Menteri Keuangan dinilai akan mempengaruhi perekon,negatif
167,Indef Agus Marto Tak Cocok di Bank Indonesia pergantian Menteri Keuangan sangat berisik,negatif
168,AutoTweet Ini Alasan DPR Minta Tambahan Calon Gubernur BI Pergantian Menteri Keuangan dinilai akan mempenga,negatif
169,AutoTweet Ini Alasan DPR Minta Tambahan Calon Gubernur BI Pergantian Menteri Keuangan dinilai akan mempenga,negatif
170,Indef Agus Marto Tak Cocok di Bank Indonesia pergantian Menteri Keuangan sangat berisi,negatif
171,Page 262 of 365 Dari pergantian Menteri Keuangan kita belajar bahwa Cewek kalo punya duit banyak ditabung Cowok kalo punya duit banyak All In,negatif
172,Ternyata utk menutupi tak ada perubahan pergantian menteri keuangan Purbaya sll menampilkan Gimmic2 Belaka,negatif
173,Pergantian Menteri Keuangan terus menjadi sorotan Sejumlah analis internasional menilai reshuffle yang dilakukan Presiden Prabowo Subianto berpotensi membawa perubahan besar terhadap arah kebijakan fiskal Indonesia,negatif
174,Pergantian Menteri Keuangan dari Sri Mulyani ke Purbaya Yudhi Sadewa dipastikan tidak akan mengganggu rencana program kredit usaha rakyat bidang perumahan,negatif
175,Pergantian Menteri Keuangan dari Sri Mulyani ke Purbaya Yudhi Sadewa dipastikan tidak akan mengganggu rencana program kredit usaha rakyat bidang perumahan,negatif
176,Menanti Gebrakan Menkeu Purbaya Yudhi Sadewa Pergantian Menteri Keuangan dari Sri Mulyani Indrawati kepada Purbaya Yudhi Sadewa terus memunculkan respons dari kalangan ekonom dan akademisi Salah satunya datang dari Direktur Riset Institute for Development of Economics and,positif
177,Rupiah Melemah Akibat Pergantian Menkeu Analis mata uang Doo Financial Futures Lukman Leong mengatakan pelemahan kurs rupiah dipengaruhi pergantian Menteri Keuangan dari Sri Mulyani ke Purbaya Yudhi Sadewa Rupiah diperkirakan akan melemah terhadap dolar AS oleh,negatif
178,Purbaya Yudhi Sadewa dan Koleksi Kendaraannya Sosok Baru di Kursi Menteri Keuangan News Tutuyan Purbaya Yudhi Sadewa dan Koleksi Kendaraannya Sosok Baru di Kursi Menteri Keuangan Setelah pengumuman resmi Presiden mengenai pergantian Menteri Keuangan,negatif
179,Nasehat IB HRS untuk menteri keuangan baru,negatif
180,Menyala menteri keuangan baru tapi bener juga sih,negatif
181,Prestasi Menteri Keuangan baru Day 1 Ngomong sak karepe dewe Day 2 Didemo mahasiswa Minta maaf Day 3 Dimarahi anggota DPR Luar biasa,negatif
182,Profil Purbaya Yudhi Sadewa Menteri Keuangan baru pengganti Sri Mulyani Utas,negatif
183,Sarapan penyetan pedas dikiit buat nyemangatin pagi sambil nyimak drama Menteri Keuangan baru dan anaknya yang ikutan bikin blunder hhhh penyet cucut aka iwak Pe,negatif
184,Menteri Keuangan Baru Janji Jaga Defisit APBN amp Injeksi Rp200T ke Sistem Perbankan More story,negatif
185,Mantan Menteri Keuangan Sri Mulyani Indrawati meminta agar setiap pihak mulai menghormati ruang pribadinya usai menanggalkan jabatan publik Pernyataan itu Sri Mulyani sampaikan usai resmi menyerahkan jabatannya kepada Menteri Keuangan baru Purbaya Yudhi Sadewa dalam acara Serah,negatif
186,Ini baru Menkeu Menteri Keuangan Baru,negatif
187,STOP SCROLLING Waktunya spill berita berita paling viral minggu ini Ini dia highlight nya Kasus keracunan MBG Penyitaan buku yang jadi kontroversi Pegawai Shell kok pada jualan kopi Menteri keuangan baru dengan gebrakan gebrakan barunya,positif
188,Demo BEM UI di DPR desak Purbaya Yudhi Sadewa dicopot dari Menteri Keuangan Baru beberapa hari jadi Menkeu mengganti Sri Mulyani sudah banyak drama bacot dan anaknya juga ikut ikutan Ada yg tidak beres nih attitudenya,negatif
189,Breaking News Ekonom Purbaya Yudhi Sadewa dilantik jadi Menteri Keuangan Baru menggantikan Sri Mulyani,negatif
190,Sederet Pekerjaan Rumah untuk Menteri Keuangan Baru Purbaya Yudhi Sadewa gt Purbaya punya prestasi apa di LPS yang berkaitan dengan Pembenahan Ekonomi amp Keuangan gt Apa yang bisa di harapkan dari dia untuk lakukan Pembenahan Ekonomi dan Keuangan,positif
191,Loh kok dua kali jd menteri keuangan baru melakukan efisiensi Padahal stiap anggaran kementrian amp lmbaga negara di ajukan dulu Kemenkeu amp dianalisa sbelum di ajukan ke Banggar DPR kira2 pengajuan anggarannya benar ato cuma anggaran ngabisin duit negara He he,negatif
192,Nonton sambil membayangkan menteri keuangan baru yg songong itu diperlakukan gini sm demonstran,negatif
193,Kelas brevet pertama dengan menteri keuangan baru,negatif
194,Menteri Keuangan baru langsung gas bacotnya,negatif
195,Anak Menteri Keuangan baru Purbaya Yudhi Sadewa nyebut Sri Mulyani sebagai agen CIA,negatif
196,Lima Tantangan Besar yang Menghadang Menteri Keuangan Baru RI Blog Strategi Manajemen klik,negatif
197,Proses penandatanganan Menteri Keuangan baru Purbaya Yudhi Sadewa Streaming,negatif
198,Luar biasa untuk Indonesia Di video kali ini beliau adalah Menteri keuangan Baru Indonesia Ada Kata kata Dari Menkeu Bahwa Itu Adalah Sinyal Baik Untuk Semua Pionir Tunggu apalagi Kode Sudah Di sampaikan langsung Dari Menteri keuangan yg baru Di mana Arah uang,positif
199,Berarti saat ini Indonesia emang gelap wok Jadi kalau pidato pilih topik yg lain aja skrng Nih lihat MENTERI KEUANGAN baru yg bilang,negatif
200,menteri keuangan baru satu ini emg cocotnya anak teknik banget,negatif
201,Presiden terpilih Prabowo Subianto diam diam sudah mengantongi nama Menteri Keuangan baru Siapa ya kira kira,negatif
202,loh menteri keuangan baru ternyata kakak kelas gw,negatif
203,Menteri keuangan baru track recordnya ex field engineer schlumberger anjir gacor bgt pak,negatif
204,menteri keuangan baru sehari udah klarifikasi jir,negatif
205,Ekonomi Komando Menteri Keuangan Baru,negatif
206,Itu menteri keuangan baru bisa ganti ga baju batiknya aku mau nonton berita terkecoh kirain video video lama semua,negatif
207,Menteri Keuangan Baru Diyakini Mampu Bantu Prabowo Kelola Keuangan Negara,negatif
208,Menteri Keuangan baru menggantikam Sri Mulyani nih,negatif
209,Menteri keuangan baru kita gaes Songong beuttt,negatif
210,menteri keuangan baru pasti berat banget ini kerjanya,negatif
211,Menteri Keuangan baru ternyata sobat opung luhut dan pakde mulyono Bisa dipastikan nasib guru bakal lebih cerah,negatif
212,Menteri Keuangan baru akan suntik likuiditas ke sistem perbankan 200T Apa dampak negatif dan positfnya,negatif
213,Silsilah Keluarga Hashanti Djojohadikusumo Seperti Apa Disebut Sebagai Ibu dari Purbaya Yudhi Sadewa Menteri Keuangan Baru,negatif
214,Pas di cek menteri keuangan baru lulusan teknik elektro,negatif
215,Tolong tag menteri keuangan baru,negatif
216,Menteri keuangan baru apa kagak mau nih di pangkas jugaa dana beginian,negatif
217,menteri keuangan baru nyenggol korupsi BI langsung di cut omongannya something fishy here gila gila gila apakah selama ini kue nya dari BI,negatif
218,Loh kenapaaaa takut yaa sama bapak menteri keuangan baru pdhl bapak ini baik niatnya,negatif
219,Speech dari Menteri Keuangan baru lebih cocok jadi video audisi biskuat,negatif
220,Hai Kawan Prima Menteri Keuangan baru saja menerbitkan aturan baru tingkatkan fleksibelitas penyerahan SKA lho Penasaran dengan detailnya Yuk kita lihat infografisnya pada unggahan ini,negatif
221,Menteri Keuangan baru saja mengumumkan kinerja APBN bulan Juli 2023 Bagaimana kinerjanya Apakah masih mengikuti tren positif seperti bulan bulan sebelumnya Simak dalam unggahan berikut,positif
222,China Tunjuk Menteri Keuangan Baru Atasi Problem Utang Pemda,negatif
223,Menteri Keuangan Sri Mulyani sedang mempersiapkan Peraturan Menteri Keuangan baru yang akan mengatur tentang pelarangan dan pembatasan impor barang bawaan penumpang dari luar negeri Langkah ini merupakan kelanjutan dari keputusan pemerintah untuk merevisi Peraturan Menteri,negatif
224,Mauuu saaweran dalam rangka menteri keuangan baru,negatif
225,Thread Kontroversi Menteri Keuangan Baru Purbaya Yudi Sadewo,negatif
226,Positifnya Menteri keuangan baru,positif
227,Masalah yang Ditinggalkan Sri Mulyani dan Harus Dibereskan Menteri Keuangan Baru Purbaya Yudhi Sadewa di Industri Tembakau Sebuah utas,negatif
228,Pertumbuhan dan Rasa Adil di Era Menteri Keuangan Baru,positif
229,Menteri Keuangan baru yang kalau tidak salah namanya Paruhbaya ini lambene cukup lamis,negatif
230,mending buang aja deh menteri keuangan baru itu anaknya kagak jelas gini,negatif
231,Presiden Prabowo melantik Purbaya Yudhi Sadewa sebagai Menteri Keuangan baru Berikut profilnya Via,negatif
232,Top 3 4 Sosok Dibidik Jadi Menteri Keuangan Baru Prabowo,negatif
233,Ebuseeeeeettt anak menteri keuangan baru,negatif
234,Tuh menteri Keuangan baru didik anak aja ga bisa wo ko suruh urus keuangan negara yang sifatnya vital bagi kelangsungan negara ini Dari srimulyani ke purbaya Ini mah ibarat dalam sepakbola POSISI KIPER DARI DE GEA DIGANTI ONANA,negatif
235,Menteri Keuangan baru terlalu over percaya diri Hati hati kesandung,positif
236,Presiden Erdogan menunjuk Menteri Keuangan Baru di tengah krisis keuangan,negatif
237,Teka teki Menteri Keuangan Baru Setelah Pertemuan Prabowo dan Sri Mulyani,negatif
238,Intip Pandangan Ekonom Tentang Menteri Keuangan Baru via,negatif
239,Beri Kesempatan Menteri Keuangan Baru,negatif
240,Pakistan menunjuk Muhammad Aurangzeb sebagai Menteri Keuangan baru di tengah goncangan perekonomian yang sedang melanda negara tersebut,negatif
